,id,Artist(s),Title,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,BMP,Time_Signature,Valence
0,6wK4hGSu7eoabTibpljwHh,EZI,Take My Breath Away,0.0741,0.718,158446,0.616,0.00287,8,0.367,-6.598,1,0.0901,102.981,4,0.354
1,3Mx3SHtPOzDoIad9XUiSyM,The Wrecks,Psycho Killer,0.000625,0.508,176776,0.564,0.00497,2,0.0887,-6.885,1,0.0452,134.284,4,0.852
2,2VprRdTmbgyjXnDzHIcfNl,Greta Van Fleet,Rolling In The Deep - Recorded At Spotify Studios NYC,0.00563,0.614,237653,0.474,0.00285,11,0.1,-10.133,0,0.0264,104.987,4,0.388
3,327ncW9qJti3VeO5dtOSMu,HELLYEAH,I Don't Care Anymore,0.000129,0.519,281522,0.973,1.45e-06,5,0.103,-4.22,0,0.049,140.032,4,0.382
4,0I3AULPVegMXTSSWprUH4s,Dead Sara,Heart-Shaped Box,0.00125,0.526,282931,0.801,6.12e-05,4,0.125,-6.202,0,0.0474,101.993,4,0.139
5,3ZwrK4djNjJCNOZknEFtmc,Buckcherry,Say Fuck It,0.000919,0.545,175284,0.836,0.00883,6,0.13,-4.264,1,0.0476,126.079,4,0.595
6,2c4FRqXnna2YeC4lShVONV,John Mayer,Call Me The Breeze,0.424,0.628,205360,0.662,0.252,1,0.0781,-9.731,0,0.0463,174.096,4,0.892
7,7EdDNkvoBL9zW0yVc1cRuU,Van Halen,You're No Good - 2015 Remaster,0.241,0.547,195653,0.742,0.0016,1,0.101,-8.308,0,0.0567,101.254,4,0.375
8,3wQxUfquHLpgHoU6fo8Z50,Weezer,No Scrubs,0.188,0.69,190280,0.798,0.0,8,0.111,-3.347,0,0.039,92.967,4,0.645
9,30KaTTGsHO8z9esyfuJuU6,Godsmack,Come Together,0.000729,0.375,226293,0.839,6.11e-06,9,0.185,-5.546,0,0.0597,177.494,4,0.666
10,4ClGNWLK9vZMBtO0CpnyOE,Disturbed,Land of Confusion,4.44e-05,0.553,287066,0.991,0.0729,8,0.179,-3.703,1,0.0925,114.919,4,0.324
11,0baZSyZzsKSigMmoDno6Uk,Pantera,Cat Scratch Fever,0.00016,0.425,229015,0.94,0.81,4,0.323,-4.475,1,0.0768,128.605,4,0.419
12,2vCnEuoc65PXAdx33Y7syW,Faith No More,War Pigs,0.00126,0.323,465933,0.891,0.019,6,0.243,-7.018,0,0.119,97.391,4,0.236
13,0rOTMSSa6yscfOrGnzfheM,Goldfinger,99 Red Balloons,0.00103,0.285,229173,0.843,0.00037,4,0.327,-7.318,1,0.129,97.051,4,0.282
14,5BmagRD7Thki6O1zZwbxBy,The Ataris,The Boys of Summer,0.000674,0.251,258000,0.954,0.000132,6,0.0975,-2.879,1,0.0691,191.059,4,0.264
15,0AqfCqze5IX4jPYdLrl0Pe,Jack Johnson,Escape (The Pina Colada Song),0.226,0.894,242080,0.466,0.0,9,0.943,-7.794,1,0.061,135.254,4,0.797
16,15rQdS4c80guV3B0s8THJL,Emilíana Torrini,White Rabbit,0.00171,0.51,307106,0.68,0.00332,11,0.146,-8.615,0,0.0315,114.024,4,0.385
17,0rFWuqFgHAfuzE8uSB9TWR,Guns N' Roses,Live And Let Die,0.0106,0.266,182733,0.778,0.113,11,0.12,-8.671,1,0.0624,151.244,4,0.262
18,4cMOsHcTygkVHs12Scxsui,Richard Cheese,Down with the Sickness,0.527,0.701,139573,0.508,0.000337,2,0.674,-7.438,1,0.101,117.779,4,0.517
19,527R1DmNg3FlPa9ibM3qai,"Caitlin Myers,Un3h",Stay with Me,0.2,0.647,310008,0.809,2.76e-06,2,0.0478,-6.875,0,0.0466,108.246,4,0.528
20,1T94tcUfe2X74nriMCAWQa,The Jeff Healey Band,While My Guitar Gently Weeps,0.00151,0.431,315666,0.666,0.00213,7,0.0527,-11.141,1,0.0337,134.777,4,0.619
21,3ARngx4lU4zYSWTiXm4Yag,Grateful Dead,Good Lovin' - 2013 Remaster,0.16,0.699,291342,0.635,0.0218,0,0.161,-10.654,1,0.0387,159.573,4,0.945
22,1tBZnhDT8xbgJTs43FiqrD,"Gerard Way,Ray Toro",Hazy Shade of Winter (feat. Ray Toro),0.00742,0.248,197733,0.937,0.362,5,0.0799,-5.121,0,0.0687,149.796,4,0.142
23,37qLqaDfuNy1KpgtV97UuQ,Skid Row,Little Wing,0.0363,0.343,199533,0.444,0.00545,7,0.0511,-7.757,1,0.0332,132.925,4,0.372
24,4KyPPjKoZVlMihGk94Fc1G,Hugo,99 Problems,0.0357,0.529,137426,0.557,3.93e-05,9,0.0734,-7.762,1,0.0738,162.599,4,0.592
25,6opIwpImZYdxNgG4wpDxED,"John Mellencamp,Meshell Ndegeocello",Wild Night,0.0695,0.665,207506,0.888,0.00147,7,0.104,-4.433,1,0.0552,144.339,4,0.951
26,52XSq4ZU4Wu3IZ2wcaBhhD,Rob Zombie,We’re An American Band,0.000297,0.513,209826,0.991,1.22e-05,1,0.471,-3.267,0,0.0983,120.056,4,0.441
27,307B0j257d72HTyAiohF8N,Judas Priest,Johnny B. Goode,0.181,0.332,279400,0.944,0.000659,4,0.349,-4.842,1,0.0715,156.223,4,0.397
