,id,Artist(s),Title,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,BMP,Time_Signature,Valence
0,0SjjcXfArhzePhEzDNkY8z,"Rachel Bay Jones,Jennifer Laura Thompson",Anybody Have a Map?,0.234,0.634,146853,0.603,0.0,7,0.536,-6.374,1,0.258,107.768,4,0.744
1,0gMW8XpPFPjoApDii5Tj1u,"Ben Platt,Original Broadway Cast of Dear Evan Hansen",Waving Through A Window,0.316,0.549,236360,0.705,0.0,9,0.12,-5.563,1,0.0564,146.024,4,0.52
2,0ZWW07BD8W85lUbgx2sn7E,Ben Platt,For Forever,0.222,0.371,301013,0.457,0.0,5,0.0882,-7.674,1,0.0407,96.269,4,0.166
3,4nna9JONFIwr98bcX6tlta,"Mike Faist,Ben Platt,Will Roland","Sincerely, Me",0.168,0.677,222960,0.731,0.0,7,0.103,-5.708,1,0.12,97.864,4,0.603
4,6WYHJTCeO3kyRfRmQW9enw,"Laura Dreyfuss,Michael Park,Jennifer Laura Thompson",Requiem,0.446,0.409,259693,0.404,0.0,4,0.132,-6.517,1,0.0285,80.356,4,0.288
5,6nkcPGa0sr24NFCc5l5UjE,"Ben Platt,Laura Dreyfuss",If I Could Tell Her,0.647,0.584,248653,0.312,0.0,4,0.152,-8.249,1,0.0405,96.026,4,0.455
6,4VM6WUdnRnBv6cHAjyzxcK,"Mike Faist,Ben Platt,Kristolyn Lloyd,Will Roland,Jennifer Laura Thompson,Original Broadway Cast of Dear Evan Hansen",Disappear,0.379,0.451,275813,0.634,0.0,8,0.226,-6.65,1,0.118,136.643,4,0.298
7,1H7Zqkq54andtaSSnLRrfp,"Ben Platt,Kristolyn Lloyd,Will Roland,Laura Dreyfuss,Original Broadway Cast of Dear Evan Hansen",You Will Be Found,0.0865,0.293,360906,0.624,0.0,9,0.0874,-7.13,1,0.0613,87.335,4,0.213
8,6433GYPXbZUJWTCIdhW1as,"Michael Park,Ben Platt",To Break In a Glove,0.203,0.652,230813,0.423,0.0,7,0.111,-8.659,1,0.446,108.491,4,0.426
9,7BbtvJqWnQRt8gSrWbUVym,"Laura Dreyfuss,Ben Platt",Only Us,0.707,0.467,227186,0.346,0.0,1,0.102,-7.029,1,0.0271,69.006,4,0.243
10,7FIrk5lA1IalpZ3OtieeC8,"Rachel Bay Jones,Kristolyn Lloyd,Will Roland,Ben Platt",Good For You,0.175,0.627,185146,0.709,0.0,3,0.242,-4.692,1,0.0726,107.802,4,0.791
11,32bZDrurIGh2Cts0l2tRtL,Ben Platt,Words Fail,0.792,0.368,351920,0.237,0.0,0,0.122,-9.49,1,0.0389,95.871,3,0.328
12,5M2LiZ8SmRFWl1IJ0F7JNR,Rachel Bay Jones,So Big / So Small,0.806,0.447,252266,0.2,0.0,7,0.108,-9.536,1,0.0423,88.189,4,0.28
13,7vU9VpbmB4ZoztAigpXLlJ,"Ben Platt,Original Broadway Cast of Dear Evan Hansen",Finale,0.837,0.423,95960,0.0919,0.0,5,0.0931,-10.343,1,0.0353,112.831,4,0.414
14,3cGmUgp7hF5Eb8NyuEmtCA,"Catherine Zeta-Jones,Renée Zellweger,Taye Diggs",Overture/And All That Jazz,0.381,0.579,364360,0.597,2.7e-05,1,0.326,-6.541,0,0.111,119.922,4,0.703
15,28Tmk14BdrfaV2YzxpB35c,"Catherine Zeta-Jones,Susan Misner,Deidre Goodwin,Denise Faye,Ekaterina Chtchelkanova,Mya Harrison,Taye Diggs",Cell Block Tango,0.393,0.601,442733,0.34,0.0,1,0.456,-12.092,1,0.363,125.309,4,0.654
16,2L7E2IsUbGiGqT9aSehkID,"Christine Baranski,Cleve Asbury,Shaun Amyot,Rick Negron,Taye Diggs",We Both Reached For The Gun,0.569,0.63,238000,0.6,0.0,11,0.0988,-7.433,1,0.383,136.003,4,0.731
17,550YyHm9PWX2BlcVk2IayG,"Queen Latifah,Taye Diggs",When You're Good To Mama,0.448,0.517,199733,0.429,0.0,2,0.109,-9.236,1,0.107,172.004,4,0.436
18,5uryqFuYGHHMkEFQGHoCsU,"Renée Zellweger,John C. Reilly,Colm Feore,Taye Diggs",Funny Honey,0.703,0.347,219306,0.222,0.0,8,0.122,-12.379,1,0.0578,84.235,4,0.503
19,6Do8mrCwUusdtWTSh5EHli,"Richard Gere,Renée Zellweger",All I Care About,0.695,0.428,228200,0.468,0.0,6,0.249,-8.869,1,0.0782,133.386,4,0.281
20,7nOhijGWNbwBpzmQ6XqLRG,Renée Zellweger,Roxie,0.481,0.514,200293,0.403,0.0,5,0.11,-9.377,0,0.0429,132.683,4,0.464
