Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0SjjcXfArhzePhEzDNkY8z,"73sIMDrtvzFVs4Y1WkUpTd,3P8W0rYcexMlnGDDPoh5I3","Anybody Have a Map?","Dear Evan Hansen (Original Broadway Cast Recording)","Rachel Bay Jones,Jennifer Laura Thompson",2017-02-03,146853,54,spotify:user:gloomyarcher383,2020-02-27T03:52:48Z,"broadway,show tunes",0.634,0.603,7,-6.374,1,0.258,0.234,0,0.536,0.744,107.768,4
0gMW8XpPFPjoApDii5Tj1u,"6qGkLCMQkNGOJ079iEcC5k,5bi4lyuj5ZrayYKlibl9ij","Waving Through A Window","Dear Evan Hansen (Original Broadway Cast Recording)","Ben Platt,Original Broadway Cast of Dear Evan Hansen",2017-02-03,236360,59,spotify:user:gloomyarcher383,2020-02-27T03:52:52Z,"show tunes,broadway",0.549,0.705,9,-5.563,1,0.0564,0.316,0,0.12,0.52,146.024,4
0ZWW07BD8W85lUbgx2sn7E,"6qGkLCMQkNGOJ079iEcC5k","For Forever","Dear Evan Hansen (Original Broadway Cast Recording)","Ben Platt",2017-02-03,301013,56,spotify:user:gloomyarcher383,2020-02-27T03:52:57Z,"show tunes",0.371,0.457,5,-7.674,1,0.0407,0.222,0,0.0882,0.166,96.269,4
4nna9JONFIwr98bcX6tlta,"3OPl8pWnz8rdYTiaNQ0eMv,6qGkLCMQkNGOJ079iEcC5k,2FYB9zfwe2ayj4zfNeh466","Sincerely, Me","Dear Evan Hansen (Original Broadway Cast Recording)","Mike Faist,Ben Platt,Will Roland",2017-02-03,222960,62,spotify:user:gloomyarcher383,2020-02-27T03:53:02Z,"broadway,show tunes",0.677,0.731,7,-5.708,1,0.12,0.168,0,0.103,0.603,97.864,4
6WYHJTCeO3kyRfRmQW9enw,"5hqM93qFRmwRv3QGrLO0jK,2fPpoCU3oYJkQERSp1nXY2,3P8W0rYcexMlnGDDPoh5I3","Requiem","Dear Evan Hansen (Original Broadway Cast Recording)","Laura Dreyfuss,Michael Park,Jennifer Laura Thompson",2017-02-03,259693,52,spotify:user:gloomyarcher383,2020-02-27T03:53:06Z,"broadway,show tunes",0.409,0.404,4,-6.517,1,0.0285,0.446,0,0.132,0.288,80.356,4
6nkcPGa0sr24NFCc5l5UjE,"6qGkLCMQkNGOJ079iEcC5k,5hqM93qFRmwRv3QGrLO0jK","If I Could Tell Her","Dear Evan Hansen (Original Broadway Cast Recording)","Ben Platt,Laura Dreyfuss",2017-02-03,248653,56,spotify:user:gloomyarcher383,2020-02-27T03:53:11Z,"show tunes,broadway",0.584,0.312,4,-8.249,1,0.0405,0.647,0,0.152,0.455,96.026,4
4VM6WUdnRnBv6cHAjyzxcK,"3OPl8pWnz8rdYTiaNQ0eMv,6qGkLCMQkNGOJ079iEcC5k,31Rv7Yk0rBrYdQ0ELNZDaR,2FYB9zfwe2ayj4zfNeh466,3P8W0rYcexMlnGDDPoh5I3,5bi4lyuj5ZrayYKlibl9ij","Disappear","Dear Evan Hansen (Original Broadway Cast Recording)","Mike Faist,Ben Platt,Kristolyn Lloyd,Will Roland,Jennifer Laura Thompson,Original Broadway Cast of Dear Evan Hansen",2017-02-03,275813,49,spotify:user:gloomyarcher383,2020-02-27T03:53:16Z,"broadway,show tunes",0.451,0.634,8,-6.65,1,0.118,0.379,0,0.226,0.298,136.643,4
1H7Zqkq54andtaSSnLRrfp,"6qGkLCMQkNGOJ079iEcC5k,31Rv7Yk0rBrYdQ0ELNZDaR,2FYB9zfwe2ayj4zfNeh466,5hqM93qFRmwRv3QGrLO0jK,5bi4lyuj5ZrayYKlibl9ij","You Will Be Found","Dear Evan Hansen (Original Broadway Cast Recording)","Ben Platt,Kristolyn Lloyd,Will Roland,Laura Dreyfuss,Original Broadway Cast of Dear Evan Hansen",2017-02-03,360906,58,spotify:user:gloomyarcher383,2020-02-27T03:53:20Z,"show tunes,broadway",0.293,0.624,9,-7.13,1,0.0613,0.0865,0,0.0874,0.213,87.335,4
6433GYPXbZUJWTCIdhW1as,"2fPpoCU3oYJkQERSp1nXY2,6qGkLCMQkNGOJ079iEcC5k","To Break In a Glove","Dear Evan Hansen (Original Broadway Cast Recording)","Michael Park,Ben Platt",2017-02-03,230813,44,spotify:user:gloomyarcher383,2020-02-27T03:53:24Z,"broadway,show tunes",0.652,0.423,7,-8.659,1,0.446,0.203,0,0.111,0.426,108.491,4
7BbtvJqWnQRt8gSrWbUVym,"5hqM93qFRmwRv3QGrLO0jK,6qGkLCMQkNGOJ079iEcC5k","Only Us","Dear Evan Hansen (Original Broadway Cast Recording)","Laura Dreyfuss,Ben Platt",2017-02-03,227186,53,spotify:user:gloomyarcher383,2020-02-27T03:53:28Z,"broadway,show tunes",0.467,0.346,1,-7.029,1,0.0271,0.707,0,0.102,0.243,69.006,4
