Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7tY1VsxEz6OGN3FkUMN2MU,"6gINjiQZIN2b9G2i6zj13e","High by the Beach","High By The Beach.","Modern Space",2015-12-01,217812,21,spotify:user:,2022-03-22T14:40:29Z,"canadian indie rock,toronto indie",0.661,0.764,1,-5.353,1,0.0473,0.0496,0,0.635,0.822,138.023,4
5cnPBp42sCF1GrN0GsPhQM,"52mkFCABBeP3KjkWFA4M2H","Hot In Herre","The Take Off All Your Clothes EP","Jenny Owen Youngs",2007-03-12,256120,34,spotify:user:,2022-03-22T14:40:29Z,"new jersey indie",0.623,0.554,7,-7.441,1,0.0252,0.582,0.00000145,0.0725,0.749,87.973,4
4eTnFWS7Bi5ds9SVTxakAJ,"4PLsMEk2DCRVlVL2a9aZAv","Immigrant Song","I Can't Make You Love Me / Immigrant Song","SOAK",2016-05-13,140358,25,spotify:user:,2022-03-22T14:40:29Z,"derry indie,irish singer-songwriter",0.214,0.452,4,-11.429,1,0.0468,0.624,0.00905,0.105,0.0385,199.785,4
0uuv52czua1tFbkUtreOrM,"6I98msL0hv5umKGyRHovON,5zWQ4hblHP7XSxlhontr2M","Love Is a Battlefield (feat. Morgan Kibby)","Gold Blooded (Deluxe Version)","Wrongchilde,Morgan Kibby",2014-09-16,253880,22,spotify:user:,2022-03-22T14:40:29Z,"electronic rock",0.476,0.536,2,-6.925,0,0.0315,0.0888,0.000244,0.128,0.089,115.061,4
2oxMa9gOociOuL8Dl3ba90,"6sMpWUXJNv5pPggHyvqKw2","Somebody to Love","Covers","Branches",2014-04-08,222500,29,spotify:user:,2022-03-22T14:40:29Z,"indiecoustica",0.584,0.428,4,-8.075,1,0.0275,0.00582,0,0.0707,0.211,127.097,4
2G2WlObIWQarFpjFISSxMX,"1cXVTtkpqSXVhyD32f9MS4","A Real Hero","Open Season (Deluxe Edition)","High Highs",2014-01-27,197326,25,spotify:user:,2022-03-22T14:40:29Z,"shimmer pop",0.475,0.915,5,-6.55,1,0.058,0.0656,0.805,0.0845,0.465,127.974,4
3fNuoybebaufvtFBo5TDWO,"1moxjboGR7GNWYIMWsRjgG","Addicted To Love","Lungs (Deluxe Edition)","Florence + The Machine",2009,199386,45,spotify:user:,2022-03-22T14:40:29Z,"baroque pop,modern rock,neo mellow,uk alternative pop",0.548,0.716,2,-5.756,1,0.0706,0.0767,0.00000166,0.0873,0.356,110.085,4
27H7ftAZmkbROLZuqHZ4QD,"2eRNMtoi82UZUuaL6naDjA","Last Kiss","Trauma - Chansons de la série télé (Saison No. 5)","Cœur De Pirate",2014-01-14,218133,28,spotify:user:,2022-03-22T14:40:29Z,"french pop,nouvelle chanson francaise",0.61,0.437,7,-8.379,1,0.0242,0.854,0.602,0.0914,0.171,106.004,4
2NAI2RvsLSELvMnl2aiwsf,"6ryz7xkL6o6AIAotVxUG30","Black Hole Sun","Black Hole Sun","Nouela",1994,275966,37,spotify:user:,2022-03-22T14:40:29Z,"",0.354,0.105,6,-14.765,0,0.0458,0.952,0.0000284,0.0838,0.0724,85.159,4
4VX5UChOvUZunwat3obe6t,"0p4HbDx1JTF3QLaBznAOrU","I Heard It Through The Grapevine","Symmetry","Colouring",2016-12-02,229746,26,spotify:user:,2022-03-22T14:40:29Z,"vapor pop",0.314,0.601,11,-7.766,0,0.0417,0.363,0.0025,0.147,0.174,159.833,4
