Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wK4hGSu7eoabTibpljwHh,"6JINIoM2HUR5ZNTJwoR9eC","Take My Breath Away","in between everything","EZI",2019-07-17,158446,51,spotify:user:,1970-01-01T00:00:00Z,"alt z,nyc pop",0.718,0.616,8,-6.598,1,0.0901,0.0741,0.00287,0.367,0.354,102.981,4
3Mx3SHtPOzDoIad9XUiSyM,"458aS6ALc3QkzwfR5USt34","Psycho Killer","Psycho Killer","The Wrecks",2020-10-30,176776,41,spotify:user:,1970-01-01T00:00:00Z,"la indie,pov: indie",0.508,0.564,2,-6.885,1,0.0452,0.000625,0.00497,0.0887,0.852,134.284,4
2VprRdTmbgyjXnDzHIcfNl,"4NpFxQe2UvRCAjto3JqlSl","Rolling In The Deep - Recorded At Spotify Studios NYC","Spotify Singles","Greta Van Fleet",2018-01-24,237653,55,spotify:user:,1970-01-01T00:00:00Z,"modern blues rock,modern hard rock,rock",0.614,0.474,11,-10.133,0,0.0264,0.00563,0.00285,0.1,0.388,104.987,4
327ncW9qJti3VeO5dtOSMu,"4hxDvVq5t8ebPYPdBl1F9f","I Don't Care Anymore","UNDEN!ABLE","HELLYEAH",2016-06-03,281522,45,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,groove metal,industrial metal,nu metal,post-grunge,southern metal",0.519,0.973,5,-4.22,0,0.049,0.000129,0.00000145,0.103,0.382,140.032,4
0I3AULPVegMXTSSWprUH4s,"589tFv4Vf1K27wpf0uWz2j","Heart-Shaped Box","Heart-Shaped Box","Dead Sara",2013-11-12,282931,44,spotify:user:,1970-01-01T00:00:00Z,"slayer",0.526,0.801,4,-6.202,0,0.0474,0.00125,0.0000612,0.125,0.139,101.993,4
3ZwrK4djNjJCNOZknEFtmc,"0yN7xI1blow9nYIK0R8nM7","Say Fuck It","Fuck","Buckcherry",2014-08-19,175284,49,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,glam metal,hard rock,nu metal,post-grunge,sleaze rock",0.545,0.836,6,-4.264,1,0.0476,0.000919,0.00883,0.13,0.595,126.079,4
2c4FRqXnna2YeC4lShVONV,"0hEurMDQu99nJRq8pTxO14","Call Me The Breeze","Paradise Valley","John Mayer",2013-08-20,205360,46,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.628,0.662,1,-9.731,0,0.0463,0.424,0.252,0.0781,0.892,174.096,4
7EdDNkvoBL9zW0yVc1cRuU,"2cnMpRsOVqtPMfq7YiFE6K","You're No Good - 2015 Remaster","Van Halen II (Remastered)","Van Halen",1979-03-23,195653,44,spotify:user:,1970-01-01T00:00:00Z,"album rock,classic rock,hard rock,rock",0.547,0.742,1,-8.308,0,0.0567,0.241,0.0016,0.101,0.375,101.254,4
3wQxUfquHLpgHoU6fo8Z50,"3jOstUTkEu2JkjvRdBA5Gu","No Scrubs","Weezer (Teal Album)","Weezer",2019-01-24,190280,43,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,modern power pop,modern rock,permanent wave,rock",0.69,0.798,8,-3.347,0,0.039,0.188,0,0.111,0.645,92.967,4
30KaTTGsHO8z9esyfuJuU6,"6gZq1Q6bdOxsUPUG1TaFbF","Come Together","Live & Inspired","Godsmack",2012-01-01,226293,46,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,nu metal,post-grunge,rap metal",0.375,0.839,9,-5.546,0,0.0597,0.000729,0.00000611,0.185,0.666,177.494,4
