Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3B0gvjxlqRgY7stPPl3qoQ,"7gjr06Lie1BDJuefW3v9YQ","Take My Breath Away","Take My Breath Away","Flora Martínez",2017-07-28,210545,56,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"colombian pop,contemporary vocal jazz,coverchill,jazz cover,jazz pop",0.852,0.225,1,-13.899,1,0.05,0.83,0.0000497,0.0996,0.399,96.018,4
4CRjazq3qlqmWA70eRYT04,"1mbrPxCCWDAO0UJ0p2gaHn","Beautiful Things","Beautiful Things","48th St. Collective",2024-07-05,169000,53,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.779,0.375,7,-12.535,0,0.072,0.823,0.0000971,0.108,0.341,140.069,4
73DfVvh6PynHy59NISUfsB,"3tFvFDca4inwWMY5vupFbX","Sing It Back","Sing It Back","The Cooltrane Quartet",2022-06-10,168451,51,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.693,0.287,0,-12.554,0,0.0453,0.669,0.00000203,0.138,0.368,125.088,4
5bFy4AS0cdJD2g3pJc0YSX,"6MVeEwYSJUvwwYfUVPeZ6Y,1J6oTMVgZOOKh6ytjazn87","Bad Habits","Bad Habits","Stella Starlight Trio,Natalie Renoir",2023-02-03,207000,54,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.782,0.359,9,-13.542,0,0.0447,0.174,0,0.226,0.363,114.951,4
3QQ8XjdUJrWZ9fSlypk6lN,"0wf8Rn6bjZgEkKp0eV9omw,3GIjlMHdT0MFbIjMb8aUdN","Water - Bossa Nova Version","Water (Bossa Nova Version)","Groove Da Praia,Mayla Da Viola",2024-02-23,163750,53,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill,jazz cover",0.819,0.283,3,-11.962,0,0.105,0.784,0.124,0.189,0.741,117.038,4
3XR1rkOcAJQmicJKfhFWEX,"6Q5cnVb5SfF6RWedEp57Al","I Just Wanna Stop","I Just Wanna Stop","Michelle Simonal",2018-08-24,142800,49,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.781,0.552,4,-8.82,1,0.0388,0.505,0.000107,0.111,0.481,125.455,4
2oD3ivFZnfyciys07pNXoN,"3tFvFDca4inwWMY5vupFbX,6NP40ldgw4kYtspZOziuii","Never Gonna Give You Up","Songs We Love","The Cooltrane Quartet,Eve St. Jones",2021-04-02,187969,56,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.736,0.417,9,-11.39,0,0.0324,0.697,0.00249,0.0967,0.399,101.969,4
3mo9t9GnRVdBcpbchq6L64,"4DpQLwz0jhUU7wuT9phTlD,0wf8Rn6bjZgEkKp0eV9omw","Over My Shoulder","Over My Shoulder","Sarah Menescal,Groove Da Praia",2021-05-28,197215,52,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill,jazz cover",0.68,0.569,1,-10.72,0,0.0814,0.215,0.0185,0.312,0.434,176.036,4
1i1hDWeiuyqWBUCEsiZ5Bo,"4DpQLwz0jhUU7wuT9phTlD,6NP40ldgw4kYtspZOziuii","Break My Heart","Break My Heart","Sarah Menescal,Eve St. Jones",2023-12-01,145316,54,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill,jazz cover",0.832,0.529,4,-8.308,0,0.0456,0.616,0.499,0.166,0.339,106.062,4
6auWMxgWWn4BYFyYwTq4ih,"4BoBwZFmzlSepZqWiok2Z9,0qaq7Wbz8frkQzqBCops0p,2jDHvU3y5xMaBc8u3O85nu","Last Friday Night (T.G.I.F.)","Last Friday Night (T.G.I.F.)","Anakelly,Stereo Dub,Nova Bossa Ltd.",2020-09-18,210066,53,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill,reggae cover",0.894,0.362,1,-11.633,0,0.0635,0.399,0.0989,0.0823,0.809,119.977,4
