Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4mJDfMcT7odIUjWlb2WO4L,"6eUKZXaKkcviH0Ku9w2n3V","Baby One More Time - Recorded at Spotify Studios New York City","Spotify Singles","Ed Sheeran",2017-06-07,177214,59,spotify:user:,2024-08-16T04:00:00Z,"pop,singer-songwriter pop,uk pop",0.792,0.307,11,-6.224,0,0.0522,0.189,0,0.0834,0.631,104.511,4
2yN5ip7YyR19rmFSygnrOD,"0p4nmQO2msCgU4IF37Wi3j","Hello – Spotify Singles","Spotify Singles","Avril Lavigne",2022-06-24,246527,46,spotify:user:,2024-08-16T04:00:00Z,"canadian pop,candy pop,dance pop,pop",0.406,0.496,8,-8.834,1,0.0367,0.209,0.00348,0.0976,0.205,164.807,4
4sRoiXZBLpiRIklm2wy0WZ,"3BmGtnKgCSGYIUhmivXKWX","Happier Than Ever","Happier Than Ever","Kelly Clarkson",2022-05-25,254725,57,spotify:user:,2024-08-16T04:00:00Z,"dance pop,pop,talent show",0.361,0.461,7,-6.435,0,0.0599,0.233,0,0.0971,0.183,162,3
6MmBZEU7zbWwPP32XJQPoI,"3Wbs390oASVP3AFZz937tl","Rewrite the Stars","Rewrite the Stars","Michael Gerow",2023-12-07,151446,51,spotify:user:,2024-08-16T04:00:00Z,"",0.398,0.289,10,-7.623,1,0.0364,0.892,0,0.0762,0.576,74.675,5
30QYxvXOJZhGBF6DvpNb8w,"74KM79TiuVKeVCqs8QtB0B","I Knew You Were Trouble - Spotify Singles","Spotify Singles","Sabrina Carpenter",2023-10-18,233617,61,spotify:user:,2024-08-16T04:00:00Z,"pop",0.386,0.492,6,-6.657,1,0.044,0.401,0,0.17,0.215,145.961,4
7qF0FfuzBFwMe1lNHkEDxW,"00FQb4jTyendYWaN8pK0wa","Take Me Home, Country Roads","Take Me Home, Country Roads","Lana Del Rey",2023-12-01,166676,68,spotify:user:,2024-08-16T04:00:00Z,"art pop,pop",0.321,0.151,9,-13.295,1,0.0296,0.923,0.0000046,0.112,0.357,74.991,4
7hLkwgguzGRq1rTyA3P9pr,"3K2Srho6NCF3o9MswGR76H","A Girl Like You","A Girl Like You","Bakar",2024-08-16,116852,46,spotify:user:,2024-08-16T04:00:00Z,"uk alternative hip hop",0.866,0.784,5,-6.321,0,0.0411,0.0609,0.0508,0.127,0.897,130.056,4
4guQztGKAETkvuTekNeqBe,"33qOK5uJ8AR2xuQQAhHump","You're Still The One","You're Still The One","Teddy Swims",2020-07-17,196413,71,spotify:user:,2024-08-16T04:00:00Z,"",0.546,0.44,1,-6.668,1,0.0273,0.531,0.0000277,0.0959,0.24,133.886,4
2UYNxBhod7KpjKEFlmHm2b,"4IbUky1dWqlyVlMMTJXPI5,4xnihxcoXWK3UqryOSnbw5","Kiss Me","Kiss Me","King Henry,Sasha Alex Sloan",2024-06-14,235533,52,spotify:user:,2024-08-16T04:00:00Z,"la pop,alt z",0.582,0.533,10,-7.623,0,0.0295,0.392,0.456,0.11,0.442,90.029,4
1DlqQ6itflIyZwOBx5Fppa,"5xkAtLTf309LAGZTbvULBn","Call Out My Name","Call Out My Name","Ruel",2024-07-18,226100,51,spotify:user:,2024-08-16T04:00:00Z,"alt z,australian alternative pop,singer-songwriter pop",0.477,0.512,9,-8.256,0,0.0393,0.125,0,0.217,0.149,120.893,3
